date,internal_present,internal_absent,external_present,external_absent,extraordinary_present,extraordinary_absent,emeritus_present,emeritus_absent
2021-10-05,27,0,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-12-14,26,1,N/A,N/A,N/A,N/A,N/A,N/A
2022-02-15,25,1,12,1,7,6,1,2
2022-03-22,25,3,14,3,0,0,3,0
2022-05-24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022-06-21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2022-11-22,25,3,N/A,N/A,N/A,N/A,N/A,N/A
2023-01-17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2023-02-21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2023-03-21,21,7,N/A,N/A,N/A,N/A,N/A,N/A
2023-04-18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2023-05-23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2023-10-17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2023-11-28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024-01-23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024-03-19,23,5,12,5,4,6,0,3
2024-05-21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024-06-18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024-10-22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2024-11-26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-01-21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-03-25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-04-22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-05-20,21,7,9,8,6,3,1,2
